	SRR1450106	SRR1450107	SRR1450108	SRR1450109	SRR1450110	SRR1450111	SRR1450112	SRR1450113	SRR1450114	SRR1450115	SRR1450116	SRR1450117	SRR1450118	SRR1450119	SRR1450120	SRR1450121	SRR1450122	SRR1450123
Blon_1385	5.27579564457138	9.43002694948922	12.2173860053787	16.864919899689	2.23457478774547	4.32506850729829	5.05149652277759	0.67185787430984	9.01729274903955	0	6.3668218090892	6.56355737874479	15.8972562982332	0	24.2480267048371	17.4480016622837	16.9512870640202	11.5599220096138
Blon_1386	229.790210296887	231.035660262486	378.020296401719	412.1786423484	261.892165123769	196.790617082072	229.001175699251	184.760915435206	590.869972239697	96.7246034154417	259.080672077553	319.426459098913	436.933680681744	119.858236179633	234.145007868584	272.382692616761	467.464339419328	682.035398567217
Blon_1387	101.998715795047	113.160323393871	234.286343397263	227.339120247808	105.918844939135	103.801644175159	104.39759480407	109.512833512504	200.753412254933	96.7246034154417	108.235970754516	111.033512323766	80.449751569847	0	75.775083452616	64.9453395207225	141.478049726631	127.881637231353
Blon_1388	41.6201656405075	49.8444281615859	93.4270694528962	96.4673418262212	65.6964987597169	64.0110139080146	66.7920095789482	65.8420716823643	95.3934653977341	0	73.9530840901899	64.5416475576572	70.3333157436985	119.858236179633	25.7635283738895	32.4726697603612	65.1972579385394	98.9818322073185
Blon_1389	141.860282887364	175.80264527262	145.889962299523	155.157263077139	309.265150623973	215.820918514184	251.45227135604	201.557362292952	207.872327583122	290.173810246325	212.064141795048	205.111168085775	223.043323214606	239.716472359265	262.939539580578	187.081351156708	157.777364211265	259.375750090711
Blon_1390	140.687883855237	122.59035034336	97.7390880430299	87.697583478383	127.817677859041	109.424233234647	119.552084372403	105.481686266645	165.6334299692	0	208.635853128615	228.083618911382	127.659785425206	119.858236179633	121.240133524186	104.203343260861	111.487311074902	136.551578738564
Blon_1391	12.3101898373332	24.9222140807929	44.5575254313813	50.5947596990671	47.372985500204	26.3829178945195	22.4510956567893	32.9210358411821	29.8994443783943	0	27.9160648552373	55.2432746044354	26.495427163722	0	23.490275870311	24.2333356420606	23.4710128578742	31.7897855264381
Blon_1392	39.8615670923171	50.5180015151208	61.805599791916	44.523388535179	57.6520295238332	41.0881508193337	43.2183591393194	40.3114724585904	44.6118693899851	0	47.0165302825049	65.0886106725525	26.495427163722	0	41.6762958989388	42.1660040171855	35.8584918661967	33.2347757776398
Blon_1394	25.2065791907299	18.8600538989784	24.4347720107575	24.2854846555522	24.5803226652002	16.8677671784633	24.1349278310485	12.765299611887	26.1026895366934	0	35.7521532356547	43.2100860767366	20.7146066916372	0	26.5212792084156	31.98800304752	26.7308757548012	20.2298635168242
Blon_1395	43.9649637047615	35.0258143838171	30.1841301309357	25.6346782475273	56.758199608735	48.8732741324706	34.2379208766037	45.0144775787592	39.865925837859	0	57.7911518055789	55.7902377193308	20.2328716522968	0	34.0987875536772	48.4666712841213	37.8144096043529	39.0147367824467
Blon_1396	30.4823748353013	39.7408278585617	46.7135347264481	51.9439532910422	54.5236248209895	53.6308494904987	28.0638695709866	37.624040961351	28.0010669575439	0	41.6292195209679	47.0388278810044	25.0502220457008	0	34.0987875536772	41.6813373043443	35.2065192868113	33.9572709032407
Blon_1397	272.582774969521	218.237766545322	215.600929506684	222.616942675895	361.107285699668	288.049562586066	206.550080042462	186.776489058135	183.193421112067	0	176.801744083169	199.094573821925	88.6392472386338	359.574708538898	65.9243226037759	88.6940084499419	96.4919417490383	104.039298086525
Blon_1398	46.8959612850789	45.8029880403762	53.1815626116486	41.1504045552412	63.0150090144223	72.6611509226112	81.946499147281	62.4827823108151	77.3588798996551	96.7246034154417	76.4018617090704	105.563881174812	74.1871960584217	0	37.887541726308	31.0186696218376	33.2506015486551	64.302066178477
Blon_1399	34.5857714477457	35.0258143838171	30.1841301309357	33.7298397993781	52.7359649907931	50.1707946846601	58.9341260990719	54.420487819097	53.1545677838121	0	42.60873056852	66.7295000172387	18.7876665342756	0	25.7635283738895	36.3500034630909	37.1624370249675	36.8472514056441
